Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,emission_types
Cosumnes Power Plant,HERALD,California,95638,14295A Clay East Road,Sacramento,38.3383,-121.1239,221112,D,Power Plants,1383664.476,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Biogenic CO2 emissions (metric tons)<br>Electricity Generation
Cottage Grove Cogeneration,COTTAGE GROVE,Minnesota,55016,9525 105TH ST COURT S,Washington,44.7956,-92.9119,221112,"C,D",Power Plants,320447.412,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation
Cottonwood Energy Project,DEWEYVILLE,Texas,77614,976 COUNTY ROAD 4213,Newton,30.2588,-93.7353,221112,"C,D",Power Plants,2432843.032,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation
Coughlin Power Station,ST. LANDRY,Louisiana,71367,2180 ST LANDRY HWY,Evangeline,30.8442,-92.2606,221112,D,Power Plants,1482647.204,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Electricity Generation
County of Orange - CUF,Santa Ana,California,92703,525 N. Flower Street,,33.7463915,-117.8604472,921190,C,Other,30803.984,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
Coupland Pump Station,Taylor,Texas,76574,200 County Road 454,WILLIAMSON COUNTY,30.48178,-97.39897,486990,C,Other,28756.14,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
Covanta Niagara,NIAGARA FALLS,New York,14304,100 ENERGY BOULEVARD & 56TH STREET,Niagara,43.0839,-79.0056,562213,"C,D",Power Plants,328294.076,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Biogenic CO2 emissions (metric tons)<br>Stationary Combustion<br>Electricity Generation
Covanta Stanislaus Inc.,CROWS LANDING,California,95313,4040 FINK ROAD,STANISLAUS COUNTY,37.38538,-121.14088,562213,C,Waste,110902.034,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Biogenic CO2 emissions (metric tons)<br>Stationary Combustion
Covanta WBH,Tulsa,Oklahoma,74107,2122 S. Yukon Avenue,TULSA COUNTY,36.13221,-96.01738,562213,C,Waste,138532.342,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Biogenic CO2 emissions (metric tons)<br>Stationary Combustion
Cove Compressor Station,Cove,Arkansas,71937,,POLK COUNTY,34.429592,-94.448994,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,14019.256,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Petroleum and Natural Gas Systems – Transmission/Compression
